look	l--- 見える、見る
anything else	他に何か
be proud of ～	～を誇りに思う
be ready to do	～する準備ができている
do one's best	最善を尽くす
far from ～	～から遠くに
find out ～	～を知る、～を見つけ出す
get married	結婚する
get to ～	～に着く
give A a ride	Aを車で送る
go into ～	～に入る
go to work	仕事に行く
have time to do	～する時間がある
hear about ～	～について聞く
in the world	世界（中）
most of ～	～のほとんど
near here	この近くに
next to ～	～の隣に
not ～ at all	まったく～ない
not have to do	～しなくてもいい、～する必要がない
pick up A	Aを車で迎えに行く（来る）
stay with A	Aのところに泊まる
stop doing	〜するのをやめる
take a trip	旅行する
take care of 〜	〜の世話をする
twice a week [month]	週[月]に２回
wake up	目が覚める、起きる
work for 〜	〜で働く、〜に勤める
a lot	ずいぶん、たいへん
at work	仕事中で、職場で
be different from 〜	〜と違う
be in the hospital	入院している
be sold out	売り切れている
between A and B	AとBの間に
catch a cold	風邪をひく
come back	戻ってくる
come home	帰宅する
do one's homework	宿題をする
for free	無料で
for the first time	初めて
go back to 〜	〜へ戻る、〜へ帰る
how far 〜	どれくらいの距離で〜
how many times 〜	何回〜
harry up	急ぐ
in the future	将来、未来に
not 〜 yet	まだ〜ない
on vacation	休暇（中）で
put A in B	AをBに入れる
stay up late	遅くまで起きている
such as〜	（例えば）〜のような
take a walk	散歩する
take lessons	レッスンを受ける
these days	最近、近ごろは
write back	（手紙やEメールなどの）返事を書く[返信をする]
write to 〜	〜に手紙[Eメール]を書く
(a) part of 〜	〜の一部
a piece of 〜	一切れ[片、枚]の〜
all the way	（その間）ずっと、はるばる
as 〜 as ...	・・・と同じくらい〜
as usual	いつものように
at last	やっと、ついに、とうとう
at the end of 〜	〜の終わりに、〜の突き当たりに
be back	戻る
be full of 〜	〜でいっぱいである
be glad to do	〜してうれしい
be in a hurry	急いでいる
be interested in 〜	〜に興味がある
be kind to 〜	〜に親切である
be tired of doing	〜するのに飽きて[うんざりして]いる
cheer up A	Aを元気づける
come ture	実現する、本当になる
feel sick	気分が悪い
finish doing	〜し終える
first of all	まず最初に
for example	たとえば
get angry	怒る
get back (to〜)	（〜に）戻る
go on a trip	旅行に行く
have a cold	風邪をひいている
have a stomachache	腹痛がする
help A (to) do	Aが〜するのを手伝う
hundreds of 〜	何百もの〜
in time	間に合って
introduce A to B	AをBに紹介する
It takes A B to do	Aが〜するのにB（時間）がかかる
keep doing	〜し続ける
look after 〜	〜の世話をする
make a speech	スピーチ[演説]をする
no more 〜	これ以上ない〜ない
on foot	徒歩で、歩いて
on one's [the] way home	家に帰る途中で
on one's [the] way to 〜	〜へ行く途中で
on time	時間どおりに
once a week [month]	週[月]に１回
one of the 〜A	最も〜ない（最上級）なA（複数名詞）のうちの１つ[1人]
right away	すぐに、今すぐ
right now	ちょうど今、今すぐに
see the [a] doctor	医者に診てもらう
show A how to do	Aに〜やり方を教える
so 〜 that ...	とても〜（形容詞・副詞）なので・・・
something (A) to do	何か〜すべき（Aな）もの
sound like 〜	〜のように聞こえる[思われる]
such a [an] 〜	そんなに〜、これほどの〜
take a picture	写真を撮る
take a shower	シャワーを浴びる
take off 〜	〜を脱ぐ
the other day	先日
the same as 〜	〜と同じ
this way	こちらへ
thousands of 〜	何千もの〜、たくさんの〜
turn down 〜	音量を下げる
a glass of 〜	コップ１杯の〜
be covered with 〜	〜でおおわれている
be fulled with 〜	〜でいっぱいである
break one's promise	約束を破る
give A a hand	Aを手伝う
give up	あきらめる、やめる
have an interview with A	Aにインタビューする、Aと面談する
in fact	実際は、実は
leave for 〜	〜へ（向けて）出発する
a slice of	1切れ[桜]の〜
agree with ~	〜に同意する
all the time	いつも、その間ずっと
as soon as possible	できるだけ早く
ask (A) for ~	(Aに)〜を求める[頼む]
be absent from ~	〜を休んでいる
be careful (about ~)	（〜に）気をつける
be happy to do	〜して嬉しい
be known as ~	〜として知られている
brush one's teeth	歯を磨く
change one's mind	気が変わる
day and night	昼も夜も
fall down	転ぶ、倒れる
feel better	気分（体調）がよくなる
feel like doing	〜したい気分である
for a long time	長い間
get better	（ 病気や悪い状態が）よくなる、上達する
get in trouble	面倒なことに巻き込まれる,困ったことになる
get on (~)	（乗り物に）乗る
get A to do	Aに〜させる、Aに〜してもらう
get together	集まる
give A back to B	AをBに返す
go abroad	海外へ行く
go for a walk	散歩に行く
go to [and] see a movie	映画を見に行く
graduate from ~	〜を卒業する
have a good memory	記憶力がよい
have a great [good] time	楽しい時間を過ごす
have been to ~	〜に行ったことがある
have enough A to do	〜するのに十分なA(名詞)がある
hear of ~	〜のこと[うわさ]を聞く
in a minute	すぐに
in those days	その当時
look around (~)	（〜を）見て回る
look well	元気そうに見える
make A from B	BにちなんでAに名前をつける
Name A after B	BにちなんでAに名前をつける
on one's [the] right	右側[右手]に
on one's [the] first day	初日に
on sale	売りに出されて,特売[セール]で
pick up ~	〜を拾い上げる,〜を手に取る
play catch	キャッチボールをする
receive a prize	賞を取る、受賞する
save money	お金を貯める、お金を節約する
say goodbye to A	Aにさよならを言う
say hello to A	Aによろしくと伝える
show A around ~	Aに〜を案内する
slow down	速度[ペース]を落とす
take place	行われる,起こる
talk to oneself	ひとりごとを言う
thanks to ~	〜のおかげで、〜のせいで
think of ~	〜(のこと)を考える
this is one's first time to do	(人)にとって〜するのはこれが初めてである
turn left [right]	左[右]に曲がる
turn on ~	(電気など)をつける,(ガス・水道など)を出す
visit A in the hospital	病院にAの見舞いに行く
would love to do	(ぜひ)〜したい
a couple of ~	2,3の〜,2つの〜
a friend of mine	私の友だちの1人
after a while	しばらくして
as soon as ...	⋯するとすぐに
at least	少なくとも
at once	すぐに
be scared of ~	～を怖がる
