explanation	説明
excellent	【形】優れた〈in, at ～に〉
formal	【形】正式の，格式ばった（⇔ informal）
healthy	【形】健康な（⇔ unhealthy）
human	【形】人間の，人間的な
modern	【形】現代の，近代の
simple	【形】簡単な，単純な（⇔ complicated），質素な
thin	【形】薄い（⇔ thick），細い，やせた（⇔ fat）
traditional	【形】伝統的な
usual	【形】いつもの，普通の（⇔ unusual）
central	【形】中心（部）の
confident	【形】確信して〈of ～を〉，自信のある
direct	【形】直接の（⇔ indirect），真っすぐな
double	【形】2人用の，2倍の
enjoyable	【形】楽しい
fantastic	【形】素晴らしい，空想的な
foreign	【形】外国の
frightened	【形】おびえた〈of ～に〉，ぎょっとした
gentle	【形】優しい，穏やかな
global	【形】地球全体の，球形の
harmful	【形】有害な（⇔ harmless）
huge	【形】巨大な
ideal	【形】理想的な
male	【形】雄の，男性の（⇔ female）
original	【形】独創的な，元の
outdoor	【形】野外（で）の，屋外（で）の（⇔ indoor）
particular	【形】特定の，特別の
perfect	【形】完全な
plain	【形】明らかな，簡素な
regular	【形】通常の，規則正しい（⇔ irregular）
secondhand	【形】中古の
serious	【形】重大な，重要な，真剣な
silly	【形】愚かな（≒ foolish，stupid），ばかげた
single	【形】独身の（⇔ married），単一の
smart	【形】利口な（≒ clever），頭の良い，しゃれた
spare	【形】予備の，余分の
square	【形】平方の，正方形の
suitable	【形】ふさわしい〈for ～に〉
tiny	【形】ちっぽけな
tough	【形】困難な，頑丈な，堅い（⇔ tender）
whole	【形】全体の
absent	【形】欠席の，不在の（⇔ present）
alike	【形】（互いに）似ている，同様で，等しい
allergic	【形】アレルギー体質の〈to ～に対して〉
available	【形】入手できる，利用可能な，手が空いている
awful	【形】ひどい
basic	【形】基本的な
charming	【形】魅力的な
cheerful	【形】陽気な，元気の良い
colored	【形】色つきの
constant	【形】一定の，不断の
dead	【形】死んだ（⇔ alive）
delicate	【形】取り扱いの難しい，繊細な
delighted	【形】喜んで〈with, at, by ～に〉
dependent	【形】依存している〈on ～に〉，頼っている（⇔ independent）
dramatic	【形】劇的な，劇の
electronic	【形】電子の
fat	【形】太った（⇔ thin），厚い
female	【形】雌の，女性の（⇔ male）
flat	【形】平らな，空気の抜けた，均一の
fresh	【形】新鮮な，真新しい，生き生きとした
frightening	【形】恐ろしい，ぎょっとするような
full-time	【形】常勤の（⇔ part-time），専任の
handsome	【形】ハンサムな，端正な顔立ちの
helpful	【形】助けになる〈to ～に〉，有用な
historical	【形】歴史上の，歴史の
anyway	【副】とにかく
environmentally	【副】環境（保護）の点で
especially	【副】特に，とりわけ（≒ particularly）
fairly	【副】まあまあ，公正に
perhaps	【副】もしかすると（≒ maybe）
widely	【副】広く，広範囲に
eventually	【副】結局（は）
exactly	【副】正確に，まさに
further	【副】もっと遠くに，さらに
generally	【副】一般的に（≒ in general）
greatly	【副】非常に，大いに
naturally	【副】自然に，（通例文頭で）当然
nowadays	【副】今日（こんにち）では，近ごろは（≒ these days）
originally	【副】最初は，もともと
otherwise	【副】その他の点では，そうでなければ
rapidly	【副】急速に，速く
seldom	【副】めったに～（し）ない（≒ rarely）（⇔ often）
somewhere	【副】どこかに［で，へ］
unfortunately	【副】残念ながら，不運にも（⇔ fortunately）
abroad	【副】海外で［へ，に］（≒ overseas）（⇔ at home）
apart	【副】（apart from で）を除いて，から離れて
apparently	【副】聞いた［見た］ところでは
besides	【副】その上（≒ moreover, furthermore），さらに（≒ in addition）
downstairs	【副】階下へ［で］（⇔ upstairs）
equally	【副】同程度に，等しく
forever	【副】永久に（≒ eternally）
fortunately	【副】幸運にも（⇔ unfortunately）
frankly	【副】率直に，正直に
whenever	【接】...するときはいつでも，いつ...しようとも（≒ no matter when）
unless	【接】...でない限り，...でなければ
whether	【接】...かどうか，...であろうとなかろうと
wherever	【接】...する所はどこ（へ）でも，どこで［へ］...しようとも（≒ no matter where）
except	【前】～を除いては（≒ other than），～の他は
till	【前】～まで（ずっと）（≒ until）
beyond	【前】～を越えて，～の向こうに
despite	【前】～にもかかわらず（≒ in spite of ～）
toward	【前】～の方へ（英 towards）
none	【代】1つも［誰も］～ない
chase	（を）追跡する
claim	を主張する，を要求する
communicate	意思を通じ合う〈with ～と〉，を伝達する〈to ～に〉
compete	競争する〈with, against ～と〉
complain	不平［苦情］を言う〈of，about ～について，to ～に〉
concentrate	集中する〈on ～に〉
concern	（受身形で）心配している〈about ～を〉，に関係する
confuse	を混同する〈with ～と〉
connect	をつなぐ〈with，to ～と〉
consist	成る〈of ～から〉（≒ be made up of）
cure	を治す
cycle	自転車に乗る，循環する
deny	を否定する〈doing ～すること〉（⇔ admit）
describe	を描写する
display	を展示する，を示す
divide	を分ける〈into ～に〉
educate	を教育する
embarrass	（受身形で）当惑する〈about ～に〉，に恥ずかしい思いをさせる
employ	を雇う
entertain	を楽しませる〈with ～で〉
escape	逃げる〈from，out of ～から〉
exist	存在する
expand	（を）拡大［拡張］する
explore	（を）探検する，（を）調査する
face	に直面する，の方を向く
flash	ぴかっと光る，をぱっと照らす
float	漂う，浮かぶ（⇔ sink），を浮かべる
fold	（両手など）を組み合わせる，をたたむ
fulfill	を果たす，を完全に実現させる
guard	を守る，を監視する
handle	を扱う（≒ deal with），に手を触れる
harm	を損なう，を傷つける
import	を輸入する〈from ～から〉（⇔ export）
insist	強く主張する〈on ～を〉
kick	（を）ける
lack	（に）欠けている，がない
link	をつなぐ，を結びつける〈to, with ～に〉
lock	に鍵をかける（⇔ unlock）
lower	を下げる
major	専攻する〈in ～を〉（≒ specialize）
march	行進する
obey	（に）従う（⇔ disobey）
occur	起こる（≒ happen），思い浮かぶ〈to ～に〉
overcome	（を）克服する（≒ break through, get over），（に）打ち勝つ
pray	祈る〈for ～を〉
pretend	のふりをする〈to do ～する〉
pronounce	（を）発音する
prove	を証明する，分かる〈to be ～であることが〉（≒ turn out）
punish	を罰する〈for ～のことで〉
realize	を悟る，を実現する（英 realise）
refer	言及する〈to ～に〉，参照する〈to ～を〉
reflect	（を）反射する，を熟考する〈that ...ということ〉
reject	を拒絶する（⇔ accept）
remind	に思い出させる〈of，about ～のことを〉
request	を要請する（≒ ask for）
respond	応答する〈to ～に〉，反応する
separate	を分ける，（を）分離する〈from ～から〉
shake	を振る，揺れる
shoot	（を）撃つ，（を）シュートする
sink	沈む（⇔ float），を沈める
skip	（を）抜かす，（を）飛ばす，跳ねる
slide	滑り下りる〈down ～を〉，を滑らせる
specialize	専門とする〈in ～を〉，専攻する〈in ～を〉（≒ major）
spill	をこぼす，こぼれる
stick	くっつく〈to ～に〉，を突き刺す
stretch	ストレッチをする，伸びる，を伸ばす
succeed	成功する〈in ～に〉（⇔ fail），継承する〈to ～を〉
suffer	苦しむ〈from ～に〉，病気にかかる〈from ～の〉
supply	を供給する〈for ～に〉
tease	をからかう〈about ～のことで〉
tend	（tend to do で）～する傾向がある，～したい気がする
translate	を翻訳する〈into ～に，from ～から〉
